"Method","k","RMSE"
"True_trawl",1,0.994203458371175
"Nonparametric",1,0.994233328050351
"Exponential",1,0.995311922430525
"Piecewise",1,0.994514183339575
"Hybrid",1,0.994282121532624
"True_trawl",2,1.00093778984541
"Nonparametric",2,1.00344391100752
"Exponential",2,1.01573388644785
"Piecewise",2,1.00848769152072
"Hybrid",2,1.00476199648535
"True_trawl",3,1.05331935191881
"Nonparametric",3,1.06819501964943
"Exponential",3,1.11786455071246
"Piecewise",3,1.09266401082411
"Hybrid",3,1.07519763902275
"True_trawl",4,1.05331935191881
"Nonparametric",4,1.06819501964943
"Exponential",4,1.11786455071246
"Piecewise",4,1.09266401082411
"Hybrid",4,1.07519763902275
"True_trawl",5,1.09637904840032
"Nonparametric",5,1.12316591422468
"Exponential",5,1.18977795991297
"Piecewise",5,1.1577513340391
"Hybrid",5,1.13433811393731
"True_trawl",6,1.2086488375744
"Nonparametric",6,1.26663818317875
"Exponential",6,1.35570826815687
"Piecewise",6,1.32045856954367
"Hybrid",6,1.28748604118726
"True_trawl",7,1.2086488375744
"Nonparametric",7,1.26663818317875
"Exponential",7,1.35570826815687
"Piecewise",7,1.32045856954367
"Hybrid",7,1.28748604118726
"True_trawl",8,1.27497329391827
"Nonparametric",8,1.34999897615022
"Exponential",8,1.44439034295692
"Piecewise",8,1.41354836133119
"Hybrid",8,1.37594423188596
"True_trawl",9,1.34642830958769
"Nonparametric",9,1.44061561969034
"Exponential",9,1.53446186601688
"Piecewise",9,1.5120982346737
"Hybrid",9,1.47179486760208
"True_trawl",10,1.42199311754492
"Nonparametric",10,1.53431372531709
"Exponential",10,1.62472529294608
"Piecewise",10,1.61478202167426
"Hybrid",10,1.57064000264819
